Key	Type	Reactions	MSID
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	rxn05796
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	rxn20262
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	rxn39005
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	rxn39006
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	rxn39007
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	rxn39008
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	rxn00288
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	rxn05836
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	rxn08527
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	rxn08528
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	rxn09272
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	rxn13706
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	rxn13707
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	rxn27226
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn06106
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn10044
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn12750
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn13689
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn16999
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn27461
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn37579
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn37580
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	rxn37650
7.1.1.8	EC	Complex III_Ca.Nitrospira_dfluvii	rxn13689
3.6.3.14	EC	Complex V_Ca.Nitrospira_dfluvii	rxn00062
3.6.3.14	EC	Complex V_Ca.Nitrospira_dfluvii	rxn08173
3.6.3.14	EC	Complex V_Ca.Nitrospira_dfluvii	rxn13766
3.6.3.14	EC	Complex V_Ca.Nitrospira_dfluvii	rxn27727
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn00820
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn05748
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn05896
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn06110
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn09000
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn09001
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn09002
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn12296
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn13732
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn13733
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn14173
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn14358
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn20280
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn26381
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn37454
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn37455
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	rxn37456
7.1.1.5	EC	Terminal oxidases_Ca.Nitrospira_dfluvii	rxn08287
7.1.1.5	EC	Terminal oxidases_Ca.Nitrospira_dfluvii	rxn90021
